Posting ID	Sponsor	Study Title	Medicine or Vaccine (generic name)	Sponsor Identification Number	Medical Condition	Phase	Link to Sponsor Study Registry	Link to study details on ClinicalTrials.gov (if available)	Link to study details on EudraCT (if available)	Analysis-ready dataset	Annotated case report form	Clinical study report	Dataset specifications	Protocol with any amendments	Raw dataset	Reporting and analysis plan	Additional Information about the data and documents available for this study	Date Added to this Site	CUI_umls	preferred_umls_name	semantic_type	high_confidence
3578	GSK	A randomized, single blind, placebo-controlled, three period crossover, dose selection study to evaluate the effect of GSK256073, an HM74A receptor agonist, on glucose and NEFA 24 hour profile in type 2 diabetic patients.	GSK256073	HMD114187	Diabetes Mellitus, Type 2	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=114187	http://clinicaltrials.gov/show/NCT01147861		Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C4079835	GSK256073	Organic Chemical|Pharmacologic Substance	True
3580	GSK	A randomized, double-blind, placebo-controlled, Bayesian adaptive dose finding study to investigate the safety, tolerability, pharmacokinetics and pharmacodynamics of single and repeat intravenous infusions GSK315234A in patients with active rheumatoid arthritis (RA)	GSK315234	OSM104972	Arthritis, Rheumatoid	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=104972	http://clinicaltrials.gov/show/NCT00674635	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2006-000923-32	Y	Y	Y	Y	Y	N	Y	A raw dataset is not available for this study.	1-Aug-2015	C3851694	GSK315234	Amino Acid, Peptide, or Protein|Immunologic Factor	True
3581	GSK	A Phase I Study to Determine the Safety, Pharmacokinetics, and Pharmacodynamics of [GSK461364], a Polo-like Kinase 1 (PLK1) Inhibitor, in Adult Subjects with Advanced Solid Tumor or Non-Hodgkins Lymphoma	GSK461364	PLK107427	Lymphoma, Non-Hodgkin	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=PLK107427	http://clinicaltrials.gov/show/NCT00536835	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2006-005706-31	Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C2347618	GSK 461364	Pharmacologic Substance	True
3582	GSK	A single-blind, randomized, placebo controlled, two-period crossover fMRI study to investigate the effects of the D3 antagonist GSK598809 on neural and behavioural responses to food reward and reinforcement after a single oral dose of GSK598809 in overweight and obese subjects.	GSK598809	DAN109710	Substance Dependence	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=109710	http://clinicaltrials.gov/show/NCT01039454	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-004918-26	Y	N	Y	Y	Y	Y	Y	An annotated case report form is not available for this study. A blank case report form will be provided.	1-Aug-2015	C3886165	GSK598809	Organic Chemical|Pharmacologic Substance	True
3583	GSK	A randomized, double-bind, placebo controlled, two-way cross-over study to assess the effects of a single dose of GSK598809, a Selective DRD3 Antagonist, in Modulating Nicotine Reward	GSK598809	DAN106593	Substance Dependence	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=DAN106593	http://clinicaltrials.gov/show/NCT00605241		Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C3886165	GSK598809	Organic Chemical|Pharmacologic Substance	True
3586	GSK	A Multi-Centre, Randomized, Double-Blind, Placebo-Controlled, Repeat-Dose study to evaluate the Efficacy and Safety of Intravenous GSK679586 in Patients with Severe Asthma	GSK679586	I13106870	Asthma	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=106870	http://clinicaltrials.gov/show/NCT00843193	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-004149-27	Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C3658590	GSK679586	Amino Acid, Peptide, or Protein|Immunologic Factor	True
3588	GSK	A randomised, double-blind, placebo-controlled, 4-period incomplete block crossover study of single oral dose GSK835726 (100mg, 50mg, 10mg), Cetirizine (10mg) and placebo to evaluate the efficacy and safety using an Environmental challenge chamber in male subjects with seasonal allergic rhinitis	GSK835726	HH3110163	Rhinitis, Allergic, Seasonal	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=110163	http://clinicaltrials.gov/show/NCT00851344	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-004092-22	Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C3177194	GSK 835726	Organic Chemical|Pharmacologic Substance	True
3589	GSK	See Detailed Description	GSK835726	HH3110161	Rhinitis, Allergic, Seasonal	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=HH3110161	http://clinicaltrials.gov/show/NCT00605852	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2007-004961-16	Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C3177194	GSK 835726	Organic Chemical|Pharmacologic Substance	True
3591	GSK	A randomised, double-blind, double-dummy, placebo controlled, three-way cross-over study to investigate the effect of single oral doses of 100 mg GW273225 (4030W92) and 325 mg LAMICTAL on resting motor threshold in healthy subjects	GW273225; lamotrigine	NAP107434	Bipolar Disorder	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=107434		https://www.clinicaltrialsregister.eu/ctr-search/search?query=2006-002641-36	Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C0064636	lamotrigine	Organic Chemical|Pharmacologic Substance	True
3592	GSK	A randomised, double-blind, placebo-controlled, parallel group study to investigate the safety, tolerability, pharmacokinetics and effect on synovial thickness and vascularity of 28 days repeat dosing of GW274150 or 7.5mg prednisolone in RA subjects.	GW274150	RA4104917	Arthritis, Rheumatoid	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=RA4104917	http://clinicaltrials.gov/show/NCT00379990	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2005-001977-82	Y	N	Y	Y	Y	Y	Y	An annotated case report form is not available for this study. A blank case report form will be provided.	1-Aug-2015	C0914699	GW 274150	Organic Chemical	True
3593	GSK	A randomised, double-blind, double dummy, placebo-controlled, three-way, balanced incomplete block, crossover study in patients with allergic rhinitis to compare the effect versus placebo of 7 days treatment with a new chemical entity (NCE) and 7 days treatment with intranasal fluticasone propionate 200 μg BID upon nasal clinical response after intranasal allergen challenge.	GW328267	AA210012	Rhinitis, Allergic, Perennial	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=AA210012			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C2742038	GW 328267	Nucleic Acid, Nucleoside, or Nucleotide	False
3594	GSK	A single-centre, escalating dose study to assess the safety, tolerability, pharmacokinetics and pharmacodynamics of a slow intravenous infusion of GW328267X in healthy volunteers	GW328267	A2L115387	Lung Injury, Acute	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=115387	http://clinicaltrials.gov/show/NCT01640990	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2011-001896-37	Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C2742038	GW 328267	Nucleic Acid, Nucleoside, or Nucleotide	False
3595	GSK	A randomised, double-blind, placebo-controlled, cross-over study to investigate the effects of pre-treatment with repeat inhaled doses of a new chemical entity on the allergen-induced late phase asthmatic response in mild asthmatic subjects.	GW328267	AA210005	Asthma	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=AA210005			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C2742038	GW 328267	Nucleic Acid, Nucleoside, or Nucleotide	False
3596	GSK	A randomised, double-blind, placebo-controlled, crossover study to investigate the effects of pre-treatment with inhaled repeat doses of a new chemical entity (NCE) on the allergen induced late phase asthmatic response in mild asthmatic subjects.	GW328267	AA210013	Asthma	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=AA210013			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C2742038	GW 328267	Nucleic Acid, Nucleoside, or Nucleotide	False
3597	GSK	A randomised, double-blind, placebo-controlled, 3-way cross-over study to investigate the effects of pre-treatment with single inhaled doses of an NCE and fluticasone propionate on the allergen induced late phase asthmatic response in mild asthmatic subjects.	GW559090	A4A10003	Asthma	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=A4A10003			N	Y	Y	Y	Y	Y	N	An analysis-ready dataset and a reporting and analysis plan are not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C4079641	GW559090	Amino Acid, Peptide, or Protein|Pharmacologic Substance	True
3598	GSK	An 8-day, randomised, placebo-controlled, three-way crossover trial of repeat doses of a new chemical entity (NCE), fluticasone propionate and placebo administered intranasally, blinded for fluticasone propionate versus placebo, in an environmental exposition unit, the Vienna Challenge Chamber (VCC) in subjects with seasonal allergic rhinitis (SAR)	GW559090	A4A10008	Rhinitis	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=A4A10008			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C4079641	GW559090	Amino Acid, Peptide, or Protein|Pharmacologic Substance	True
3603	GSK	A randomised, double-blind, placebo-controlled, 2-way crossover study to determine the efficacy of repeat inhaled doses of GW870086X on FEV1 in mild to moderate asthmatics	GW870086	SIG112851	Asthma	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=112851	http://clinicaltrials.gov/show/NCT00945932	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2008-008254-23	Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C3659427	GW870086X	Organic Chemical|Pharmacologic Substance	True
3604	GSK	A randomised, double-blind, placebo-controlled, dose ascending,3-way crossover study to assess the pharmacokinetics, safety andtolerability of repeat inhaled doses of nebulised GW870086X inhealthy adult male volunteers.	GW870086	SIG113209	Asthma	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=113209	http://clinicaltrials.gov/show/NCT01160003	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2009-018106-21	Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C3659427	GW870086X	Organic Chemical|Pharmacologic Substance	True
3605	GSK	A Phase II Randomised, Double-Blind, Placebo-Controlled, Parallel Group, Multicentre Study to determine the efficacy and dose response of repeat inhaled doses of GW870086X on FEV1 in adults with Persistent Asthma	GW870086	SIG114749	Asthma	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=114749	http://clinicaltrials.gov/show/NCT01245426	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2010-022279-77	Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C3659427	GW870086X	Organic Chemical|Pharmacologic Substance	True
3606	GSK	An Open-label, Randomized, Replicate, Four-Period Crossover Study in Healthy Post-Menopausal Women to Assess the Bioequivalence of a Single Unit Dose Tablet of 150 mg Ibandronate to 3 x 50 mg Tablets of Ibandronate	ibandronic acid	743830/002	Osteoporosis	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=743830/002			N	N	N	Y	Y	Y	N	An analysis-ready dataset and a reporting and analysis plan are not available for this study. An annotated and a blank case report form are not available for this study. A clinical study report is not available for this study because only a draft version was located; no final version found in archives. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C0379200	ibandronic acid	Organic Chemical|Pharmacologic Substance	True
3607	GSK	An Open-label, Randomized, Replicate, Four-Period Crossover Study in Healthy Post-Menopausal Women to Assess the Bioequivalence of a Single Unit Dose Tablet of 100mg Ibandronate to 2 x 50 mg Tablets of Ibandronate	ibandronic acid	743830/003	Osteoporosis, Postmenopausal	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=743830/003			N	N	N	Y	Y	Y	N	An analysis-ready dataset and a reporting and analysis plan are not available for this study. An annotated and a blank case report form are not available for this study. A clinical study report is not available for this study because only a draft version was located; no final version found in archives. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C0379200	ibandronic acid	Organic Chemical|Pharmacologic Substance	True
3608	GSK	A multi-center, uncontrolled, open-label, evaluation of Lamotrigine monotherapy in newly diagnosed epilepsy or recurrent epilepsy (currently untreated)	lamotrigine	LAM115376	Epilepsy	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=115376	http://clinicaltrials.gov/show/NCT01431963		N	Y	N	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A clinical study report is not available for this study because an English language version was not created.	1-Aug-2015	C0064636	lamotrigine	Organic Chemical|Pharmacologic Substance	True
3609	GSK	A randomised, double-blind, placebo-controlled parallel group study to examine the safety, tolerability, and pharmacokinetics of repeat inhaled doses of GSK159797 in healthy subjects	milveterol	B2E101682	Pulmonary Disease, Chronic Obstructive	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=101682			N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C2698231	Milveterol	Organic Chemical|Pharmacologic Substance	True
3610	GSK	A Single Dose Study to Evaluate the Dose Proportionality of the Tablet Formulation of Nabumetone Q and the Relative Bioavailability of Nabumetone Q Compared to RELAFEN in Healthy Subjects	nabumetone	14777/268	Osteoarthritis	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=14777/268			N	N	N	Y	N	Y	N	An analysis-ready dataset and a reporting and analysis plan are not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A clinical study report and a protocol are not available for this study because only draft versions were located; no final versions found in archives. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C0068334	nabumetone	Organic Chemical|Pharmacologic Substance	True
3611	GSK	An open-label evaluation of the long-term safety of oral naratriptan 1mg twice daily as short-term prophylactic treatment for menstrually-associated migraine.	naratriptan	S2W40027	Migraine Disorders	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=S2W40027			N	N	Y	Y	Y	Y	N	An analysis-ready dataset and a reporting and analysis plan are not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C0540623	naratriptan	Organic Chemical|Pharmacologic Substance	True
3612	GSK	A Randomised, Double-Blind, Placebo-Controlled, Parallel Group Evaluation of Oral Naratriptan 1mg TwiceDaily as Prophylactic Treatment for Menstrually-Associated Migraine.	naratriptan	S2W40024	Migraine Disorders	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=S2W40024			N	N	Y	Y	Y	Y	N	An analysis-ready dataset and a reporting and analysis plan are not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C0540623	naratriptan	Organic Chemical|Pharmacologic Substance	True
3613	GSK	An Open-Label Extension of a Randomized, Double-Blind, Placebo-Controlled Study to Assess the Efficacy and Safety of Combined Lovaza® and Simvastatin Therapy in Hypertriglyceridemic Subjects	omega-3-acid ethyl esters	LOV111818	Hypertriglyceridemia	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=111818	http://clinicaltrials.gov/show/NCT00903409		Y	N	Y	Y	Y	N	Y	This is an extension study to LOV111858. A raw dataset is not available for this study. An annotated case report form is not available for this study. A blank case report form will be provided.	1-Aug-2015	C1532673	omega-3 acid ethyl esters (USP)	Organic Chemical|Pharmacologic Substance	True
3614	GSK	A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Trial to Assess the Efficacy and Safety of Lovaza for the Prevention of Recurrent, Symptomatic Atrial Fibrillation	omega-3-acid ethyl esters	LOV111820	Fibrillation, Atrial	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=OM8 Afib	http://clinicaltrials.gov/show/NCT00402363		Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C1532673	omega-3 acid ethyl esters (USP)	Organic Chemical|Pharmacologic Substance	True
3615	GSK	An open-label single dose randomized, parallel group study followed by single-blind repeat dosing, to compare the relative bioavailability of GSK2212836	omega-3-acid ethyl esters	LEM113412	Cardiovascular Disease	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=113412	http://clinicaltrials.gov/show/NCT00996268		Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C1532673	omega-3 acid ethyl esters (USP)	Organic Chemical|Pharmacologic Substance	True
3616	GSK	A Randomized, Double-Blind, Placebo-Controlled Study to Assess the Efficacy and Safety of Combined Lovaza® and Simvastatin Therapy in Hypertriglyceridemic Subjects	omega-3-acid ethyl esters	LOV111858	Hypertriglyceridemia	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=OM6%20program%20(Reliant)	http://clinicaltrials.gov/show/NCT00246701		Y	Y	Y	Y	Y	Y	Y	Extension study LOV111818 was conducted. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C1532673	omega-3 acid ethyl esters (USP)	Organic Chemical|Pharmacologic Substance	True
3617	GSK	A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group, Phase 4 Study to Assess the Efficacy and Safety of Adjunctive Lovaza® Therapy in Hypertriglyceridemic Subjects Treated with Antara®	omega-3-acid ethyl esters	LOV111859	Hypertriglyceridemia	Phase 3	https://www.gsk-studyregister.com/en/trial-details/?id=OM5%20program%20(Reliant)	http://clinicaltrials.gov/show/NCT00246636		Y	N	Y	Y	Y	Y	Y	An annotated case report form is not available for this study. A blank case report form will be provided. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C1532673	omega-3 acid ethyl esters (USP)	Organic Chemical|Pharmacologic Substance	True
3618	GSK	A Pharmacokinetic Interaction Study Evaluating the Effect of Lovaza® on Plasma Pharmacokinetics of Zocor® in Healthy Adult Volunteers Under Fasting Conditions	omega-3-acid ethyl esters	LOV111862	Dyslipidaemias	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=111862			Y	N	N	Y	Y	Y	Y	An annotated case report form is not available for this study. A blank case report form will be provided. A clinical study report is not available for this study because only a draft version was located; no final version found in archives. A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C1532673	omega-3 acid ethyl esters (USP)	Organic Chemical|Pharmacologic Substance	True
3619	GSK	A Pharmacokinetic Interaction Study Evaluating the Effect of Reliant Pharmaceuticals Inc. (Lovaza®) Omega-3-Acid Ethyl Esters Capsules on the Plasma Pharmacokinetics of Parke Davis (Lipitor®) Atorvastatin Tablets in Healthy Adult Volunteers Under Fasting Conditions	omega-3-acid ethyl esters	LOV111863	Dyslipidaemias	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=111863			Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C1532673	omega-3 acid ethyl esters (USP)	Organic Chemical|Pharmacologic Substance	True
3620	GSK	A Pharmacokinetic Interaction Study Evaluating the Effect of Omega-3-Acid Ethyl Esters Capsules (Omacor®; Reliant Pharmaceuticals Inc.) on the Plasma Pharmacokinetics of Rosuvastatin Tablets (Crestor®; AstraZeneca) in Healthy Adult Volunteers under Fasting Conditions.	omega-3-acid ethyl esters	LOV111864	Dyslipidaemias	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=111864			Y	Y	Y	Y	Y	Y	Y	A link to ClinicalTrials.gov and an NCTID number are not available for this study because the study is not in scope of regulatory requirements to register studies.	1-Aug-2015	C1532673	omega-3 acid ethyl esters (USP)	Organic Chemical|Pharmacologic Substance	True
3621	GSK	A Phase 1, Open-Label, Crossover Study to Demonstrate the Bioequivalence of RYTHMOL SR® (propafenone hydrochloride) Manufactured at Two Different Sites	propafenone	RYT116371	Arrhythmia, Cardiac	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=116371	http://clinicaltrials.gov/show/NCT01956487		Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C0033429	propafenone	Organic Chemical|Pharmacologic Substance	True
3622	GSK	An open-label, five-way, partially randomized crossover study to evaluate the regional gastrointestinal absorption of retigabine in healthy volunteers	retigabine, ezogabine	RTG113214	Seizures	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=113214			Y	Y	Y	Y	Y	Y	Y	This study was not originally sponsored by GSK. A link to ClinicalTrials.gov and an NCTID number are not available for this study.	1-Aug-2015	C0530684	ezogabine	Organic Chemical|Pharmacologic Substance	True
3623	GSK	A single-centre open label study to investigate the effect of repeat doses of SB-649868 on the pharmacokinetics of Simvastatin and Atorvastatin in healthy male volunteers.	SB649868	OXS109652	Sleep Disorders	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=109652	http://clinicaltrials.gov/show/NCT01299597	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2009-016018-26	Y	Y	Y	Y	Y	Y	Y		1-Aug-2015	C3180886	SB-649868	Organic Chemical|Pharmacologic Substance	True
3626	GSK	RIT-I-000/RIT-I-000A: Phase I Study of Radiolabeled Monoclonal Antibody Anti B1 for the Treatment of B Cell Lymphomas & RIT-I-000B: Extended Phase I/II study to determine the safety and efficacy of Coulter Clone® 131Iodine-B1 radioimmunotherapy of advanced non-Hodgkin’s Lymphoma	tositumomab	BEX104728	Lymphoma, Non-Hodgkin	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=104728	http://clinicaltrials.gov/show/NCT01536561		N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study.	1-Aug-2015	C0879399	tositumomab	Amino Acid, Peptide, or Protein|Pharmacologic Substance|Immunologic Factor	True
3627	GSK	Phase II Study of Iodine 131 Anti B1 Antibody for 1st or 2nd Relapsed Indolent B-Cell Lymphomas or B-Cell Lymphomas That Have Transformed to a More Aggressive Histology	tositumomab	BEX104505	Lymphoma, Non-Hodgkin	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=104505	http://clinicaltrials.gov/show/NCT00950755		N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study.	1-Aug-2015	C0879399	tositumomab	Amino Acid, Peptide, or Protein|Pharmacologic Substance|Immunologic Factor	True
3628	GSK	Multicenter, Pivotal Phase III Study of Iodine-131 Anti-B1 Antibody (Murine) Radioimmunotherapy for Chemotherapy Refractory Low Grade B Cell Lymphomas and Low Grade Lymphomas that have Transformed to Higher Grade Histologies	tositumomab	BEX104504	Lymphoma, Non-Hodgkin	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=104504	http://clinicaltrials.gov/show/NCT00989664		N	N	Y	Y	Y	Y	Y	A follow-on study BEX104526 was conducted. An analysis-ready dataset is not available for this study. An annotated and a blank case report form are not available for this study.	1-Aug-2015	C0879399	tositumomab	Amino Acid, Peptide, or Protein|Pharmacologic Substance|Immunologic Factor	True
3629	GSK	Phase II Study of Iodine-131 Anti-B1 Antibody for Non Hodgkin’s Lymphoma Patients who have Previously Received Rituximab	tositumomab	BEX104507	Lymphoma, Non-Hodgkin	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=104507	http://clinicaltrials.gov/show/NCT00996593		Y	Y	Y	Y	Y	Y	Y	A follow-on study BEX104526 was conducted.	1-Aug-2015	C0879399	tositumomab	Amino Acid, Peptide, or Protein|Pharmacologic Substance|Immunologic Factor	True
3630	GSK	Phase II a randomized study of iodine-131 Anti-b1 Antibody versus anti-b1 Antibody in chemotherapy-relapsed/refractory low-grade or transformed low-grade non-Hodgkin’s lymphoma (NHL)	tositumomab	BEX104515	Lymphoma, Non-Hodgkin	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=104515	http://clinicaltrials.gov/show/NCT01573000		N	Y	Y	Y	Y	Y	Y	An analysis-ready dataset is not available for this study.	1-Aug-2015	C0879399	tositumomab	Amino Acid, Peptide, or Protein|Pharmacologic Substance|Immunologic Factor	True
3631	GSK	Expanded Access Study of Iodine I 131 Tositumomab for Relapsed/Refractory Low-Grade and Transformed Low-Grade Non-Hodgkin's Lymphoma	tositumomab	BEX104545	Lymphoma, Non-Hodgkin	Phase 2	https://www.gsk-studyregister.com/en/trial-details/?id=BEX104545	http://clinicaltrials.gov/show/NCT00268203		Y	Y	Y	Y	Y	Y	N	A reporting and analysis plan is not available for this study.	1-Aug-2015	C0879399	tositumomab	Amino Acid, Peptide, or Protein|Pharmacologic Substance|Immunologic Factor	True
3634	Eisai	Phase II, Multicenter, Open-label, Single Arm Trial to Evaluate the Safety and Efficacy of Oral E7080 in Medullary and Iodine-131 Refractory, Unresectable Differentiated Thyroid Cancers, Stratified by Histology	lenvatinib	E7080-G000-201	Thyroid Cancer	Phase 2		https://clinicaltrials.gov/ct2/show/NCT00784303	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2007-005933-12	Y	Y	Y	Y	Y	Y	N	No restrictions.	1-Aug-2015	C2986924	lenvatinib	Organic Chemical|Pharmacologic Substance	True
3635	Eisai	A Phase 2 Study of E7080 in Subjects With Advanced Thyroid Cancer	lenvatinib	E7080-J081-208	Thyroid Cancer	Phase 2		https://clinicaltrials.gov/ct2/show/NCT01728623		Y	Y	Y	Y	Y	Y	Y	No restrictions. Note: Japan is the only country participating in this study.	1-Aug-2015	C2986924	lenvatinib	Organic Chemical|Pharmacologic Substance	True
3636	Eisai	A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Phase 3 Trial of Lenvatinib (E7080) in 131I-Refractory Differentiated Thyroid Cancer	lenvatinib	E7080-G000-303	Thyroid Cancer	Phase 3		https://clinicaltrials.gov/ct2/show/NCT01321554	https://www.clinicaltrialsregister.eu/ctr-search/search?query=2010-023783-41	Y	Y	Y	Y	Y	Y	Y	Sharing of clinical data is restricted for the following countries; Germany, France, Sweden, Poland.	1-Aug-2015	C2986924	lenvatinib	Organic Chemical|Pharmacologic Substance	True
3637	GSK	An open-label, randomised, single dose, three-way crossover, parallel groups study to determine the bioequivalence of two fixed dose combination (FDC) tablet formulations of amlodipine and losartan FDC5/50 and FDC5/100 to respective reference dosages in healthy adult male and female subjects under fasting conditions	amlodipine/losartan	AML116799	Hypertension	Phase 1	https://www.gsk-studyregister.com/en/trial-details/?id=116799	http://clinicaltrials.gov/show/NCT01797926		Y	Y	Y	Y	Y	Y	Y		1-Sep-2015	C0051696;C0126174	amlodipine;losartan	Organic Chemical|Pharmacologic Substance;Organic Chemical|Pharmacologic Substance	True;True
3638	GSK	U0289-404: An Evaluator Blinded, 8 Week, Split Face Study to Evaluate and Compare the Efficacy and Tolerability of MAXCLARITYII and MURAD in Subjects with Acne	benzoyl peroxide/salicylic acid	STF114553	Acne Vulgaris	Phase 4	https://www.gsk-studyregister.com/en/trial-details/?id=114553	http://clinicaltrials.gov/show/NCT02524665		N	Y	Y	Y	Y	Y	N	An analysis-ready dataset and a reporting and analysis plan are not available for this study.	1-Sep-2015	C0005088;C0036079	benzoyl peroxide;salicylic acid	Organic Chemical|Pharmacologic Substance;Organic Chemical|Pharmacologic Substance	True;True
